ticker,date,open,high,low,close,volume,sector
INDUSINDBK,2024-05-27 05:30:00,1447.85,1475.6,1439.3,1465.1,3253683,Financial Services
INFY,2024-05-27 05:30:00,1471.85,1479.6,1460.25,1471.35,5821844,Information Technology
ITC,2024-05-27 05:30:00,438.8,438.9,430.7,431.5,11827050,Consumer Goods
JSWSTEEL,2024-05-27 05:30:00,910.5,919.15,900.1,901.95,1893682,Materials
KOTAKBANK,2024-05-27 05:30:00,1703.45,1722.0,1702.5,1711.0,3454287,Financial Services
LT,2024-05-27 05:30:00,3644.9,3695.0,3600.0,3652.0,2570708,Construction
M&M,2024-05-27 05:30:00,2581.15,2589.75,2541.0,2549.1,3328559,Automobile
MARUTI,2024-05-27 05:30:00,13023.45,13058.5,12777.0,12906.1,464953,Automobile
NESTLEIND,2024-05-27 05:30:00,2477.0,2479.0,2455.0,2459.9,535831,Consumer Goods
NTPC,2024-05-27 05:30:00,379.95,380.5,368.0,369.65,21891930,Utilities
ONGC,2024-05-27 05:30:00,284.0,284.2,275.7,277.65,13719808,Energy
POWERGRID,2024-05-27 05:30:00,321.5,321.5,314.5,317.95,12857918,Utilities
RELIANCE,2024-05-27 05:30:00,1480.23,1484.9,1461.55,1466.25,6629010,Energy
SBILIFE,2024-05-27 05:30:00,1435.0,1448.0,1402.15,1410.2,1675749,Financial Services
SBIN,2024-05-27 05:30:00,832.6,839.4,823.0,833.7,12295193,Financial Services
SHRIRAMFIN,2024-05-27 05:30:00,2410.0,2423.5,2376.0,2380.0,679642,Financial Services
SUNPHARMA,2024-05-27 05:30:00,1486.7,1501.0,1460.55,1466.05,3474806,Healthcare
TATACONSUM,2024-05-27 05:30:00,1085.51,1096.37,1073.31,1074.54,1858119,Unknown
TATAMOTORS,2024-05-27 05:30:00,964.9,966.45,952.0,958.5,6916555,Automobile
TATASTEEL,2024-05-27 05:30:00,177.7,177.7,174.85,175.5,30410585,Materials
TCS,2024-05-27 05:30:00,3855.0,3908.35,3841.35,3847.05,1841538,Information Technology
TECHM,2024-05-27 05:30:00,1323.0,1342.8,1318.25,1329.7,980450,Information Technology
TITAN,2024-05-27 05:30:00,3423.95,3436.3,3390.3,3403.4,804488,Consumer Goods
TRENT,2024-05-27 05:30:00,4759.0,4760.85,4650.0,4682.0,611635,Consumer Services
ULTRACEMCO,2024-05-27 05:30:00,10277.95,10353.95,10177.65,10225.5,389326,Materials
WIPRO,2024-05-27 05:30:00,462.0,462.15,451.6,452.45,20491879,Information Technology
ADANIENT,2024-05-28 05:30:00,3309.65,3329.5,3229.05,3244.05,1621168,Materials
ADANIPORTS,2024-05-28 05:30:00,1438.0,1438.0,1398.0,1400.5,4070886,Services
APOLLOHOSP,2024-05-28 05:30:00,5944.15,5971.45,5880.3,5904.5,314362,Healthcare
ASIANPAINT,2024-05-28 05:30:00,2875.85,2921.0,2864.0,2911.2,1084544,Consumer Goods
AXISBANK,2024-05-28 05:30:00,1188.0,1192.4,1179.0,1183.4,4018776,Financial Services
BAJAJ-AUTO,2024-05-28 05:30:00,8998.7,9022.25,8916.2,8989.75,259094,Automobile
BAJAJFINSV,2024-05-28 05:30:00,1602.95,1605.0,1589.45,1599.65,1306333,Financial Services
BAJFINANCE,2024-05-28 05:30:00,6913.95,6945.0,6856.9,6873.05,752867,Financial Services
BEL,2024-05-28 05:30:00,295.7,295.75,285.05,289.1,33893805,Services
BHARTIARTL,2024-05-28 05:30:00,1384.8,1386.95,1366.9,1371.05,2068963,Telecommunications
BPCL,2024-05-28 05:30:00,328.98,329.5,321.3,323.25,8950082,Energy
BRITANNIA,2024-05-28 05:30:00,5209.0,5285.4,5180.55,5250.55,259151,Consumer Goods
CIPLA,2024-05-28 05:30:00,1482.95,1494.75,1475.2,1479.45,784496,Healthcare
COALINDIA,2024-05-28 05:30:00,496.0,496.2,484.1,487.65,8165238,Energy
DRREDDY,2024-05-28 05:30:00,1174.43,1201.02,1174.43,1193.06,3966010,Healthcare
EICHERMOT,2024-05-28 05:30:00,4793.3,4825.5,4760.0,4770.95,333511,Automobile
GRASIM,2024-05-28 05:30:00,2398.9,2469.95,2392.7,2440.35,874384,Materials
HCLTECH,2024-05-28 05:30:00,1357.85,1363.3,1345.6,1358.4,2147233,Information Technology
HDFCBANK,2024-05-28 05:30:00,1530.1,1536.05,1524.8,1530.5,13954452,Financial Services
HDFCLIFE,2024-05-28 05:30:00,567.0,579.95,563.65,578.45,5797999,Financial Services
HEROMOTOCO,2024-05-28 05:30:00,5084.95,5225.0,5045.0,5183.95,727224,Automobile
HINDALCO,2024-05-28 05:30:00,682.0,698.0,678.35,681.3,12925385,Materials
HINDUNILVR,2024-05-28 05:30:00,2390.0,2409.0,2378.55,2395.95,1631747,Consumer Goods
ICICIBANK,2024-05-28 05:30:00,1132.5,1135.2,1125.0,1126.95,9311718,Financial Services
INDUSINDBK,2024-05-28 05:30:00,1472.8,1478.8,1449.1,1459.35,2381333,Financial Services
INFY,2024-05-28 05:30:00,1475.5,1476.0,1460.3,1467.05,6186922,Information Technology
ITC,2024-05-28 05:30:00,432.1,432.5,428.25,429.0,9310198,Consumer Goods
JSWSTEEL,2024-05-28 05:30:00,905.85,915.85,901.2,907.35,1931419,Materials
KOTAKBANK,2024-05-28 05:30:00,1712.3,1716.0,1698.0,1703.65,3716141,Financial Services
LT,2024-05-28 05:30:00,3652.0,3685.25,3646.05,3658.2,1440187,Construction
M&M,2024-05-28 05:30:00,2550.0,2581.95,2548.0,2552.8,1549203,Automobile
MARUTI,2024-05-28 05:30:00,12890.0,12985.95,12800.25,12818.6,333806,Automobile
NESTLEIND,2024-05-28 05:30:00,2461.15,2467.65,2446.0,2451.7,521672,Consumer Goods
NTPC,2024-05-28 05:30:00,372.6,373.25,364.1,365.4,10200096,Utilities
ONGC,2024-05-28 05:30:00,279.3,279.3,273.05,274.3,6927361,Energy
POWERGRID,2024-05-28 05:30:00,319.0,319.5,312.0,312.8,10935739,Utilities
RELIANCE,2024-05-28 05:30:00,1468.0,1478.5,1452.75,1456.2,7820162,Energy
SBILIFE,2024-05-28 05:30:00,1415.0,1455.0,1405.9,1450.75,1600105,Financial Services
SBIN,2024-05-28 05:30:00,835.7,840.7,823.3,831.15,13818893,Financial Services
SHRIRAMFIN,2024-05-28 05:30:00,2390.0,2433.0,2375.0,2393.7,1298782,Financial Services
SUNPHARMA,2024-05-28 05:30:00,1468.95,1479.1,1455.95,1464.9,2616438,Healthcare
TATACONSUM,2024-05-28 05:30:00,1075.63,1084.47,1066.74,1082.1,969585,Unknown
TATAMOTORS,2024-05-28 05:30:00,959.0,961.9,946.0,947.55,6618946,Automobile
TATASTEEL,2024-05-28 05:30:00,175.9,177.5,173.45,174.9,39208456,Materials
TCS,2024-05-28 05:30:00,3858.0,3870.0,3830.0,3839.9,1801993,Information Technology
TECHM,2024-05-28 05:30:00,1329.0,1330.35,1311.3,1315.1,1608944,Information Technology
TITAN,2024-05-28 05:30:00,3404.0,3423.0,3392.15,3409.4,548576,Consumer Goods
TRENT,2024-05-28 05:30:00,4697.85,4723.75,4600.0,4615.9,445558,Consumer Services
ULTRACEMCO,2024-05-28 05:30:00,10264.0,10365.85,10146.45,10178.9,403774,Materials
WIPRO,2024-05-28 05:30:00,454.0,457.25,453.1,456.05,7889063,Information Technology
ADANIENT,2024-05-29 05:30:00,3250.0,3322.9,3212.0,3258.8,1910729,Materials
ADANIPORTS,2024-05-29 05:30:00,1406.0,1427.85,1382.9,1410.0,3214475,Services
APOLLOHOSP,2024-05-29 05:30:00,5909.9,5945.0,5880.9,5903.45,337183,Healthcare
ASIANPAINT,2024-05-29 05:30:00,2896.0,2921.7,2881.1,2900.15,1758297,Consumer Goods
AXISBANK,2024-05-29 05:30:00,1172.0,1185.9,1156.0,1159.75,9418064,Financial Services
BAJAJ-AUTO,2024-05-29 05:30:00,8950.0,9139.45,8902.75,9070.2,339934,Automobile
BAJAJFINSV,2024-05-29 05:30:00,1594.15,1602.35,1565.1,1569.9,1665575,Financial Services
BAJFINANCE,2024-05-29 05:30:00,6878.0,6908.0,6785.35,6806.7,721331,Financial Services
BEL,2024-05-29 05:30:00,285.4,293.95,285.0,292.15,31645904,Services
BHARTIARTL,2024-05-29 05:30:00,1355.5,1390.25,1355.5,1377.1,4445083,Telecommunications
BPCL,2024-05-29 05:30:00,320.0,321.48,316.2,316.77,10753416,Energy
BRITANNIA,2024-05-29 05:30:00,5202.0,5268.0,5200.0,5229.8,286144,Consumer Goods
CIPLA,2024-05-29 05:30:00,1475.25,1497.6,1472.6,1493.55,1607691,Healthcare
COALINDIA,2024-05-29 05:30:00,482.1,491.9,482.1,486.45,8014727,Energy
DRREDDY,2024-05-29 05:30:00,1197.0,1203.59,1182.92,1200.15,2533990,Healthcare
EICHERMOT,2024-05-29 05:30:00,4746.0,4808.85,4724.25,4745.4,548865,Automobile
GRASIM,2024-05-29 05:30:00,2440.0,2460.0,2393.25,2400.6,1084966,Materials
HCLTECH,2024-05-29 05:30:00,1366.0,1366.6,1346.95,1353.1,3845920,Information Technology
HDFCBANK,2024-05-29 05:30:00,1518.0,1523.85,1501.25,1508.3,17573853,Financial Services
HDFCLIFE,2024-05-29 05:30:00,578.45,578.45,560.9,561.85,6259646,Financial Services
HEROMOTOCO,2024-05-29 05:30:00,5171.05,5202.15,5106.05,5143.75,409279,Automobile
HINDALCO,2024-05-29 05:30:00,695.0,713.5,682.3,705.3,22684652,Materials
HINDUNILVR,2024-05-29 05:30:00,2381.2,2395.0,2369.4,2373.4,1592495,Consumer Goods
ICICIBANK,2024-05-29 05:30:00,1115.05,1123.55,1098.5,1102.0,19268547,Financial Services
INDUSINDBK,2024-05-29 05:30:00,1453.0,1471.65,1439.25,1460.25,4383563,Financial Services
INFY,2024-05-29 05:30:00,1465.4,1465.5,1450.0,1450.95,7401634,Information Technology
ITC,2024-05-29 05:30:00,425.5,432.4,425.5,430.95,10430363,Consumer Goods
JSWSTEEL,2024-05-29 05:30:00,899.6,910.0,896.45,901.9,1740879,Materials
KOTAKBANK,2024-05-29 05:30:00,1698.0,1710.9,1682.2,1687.85,4952472,Financial Services
LT,2024-05-29 05:30:00,3611.0,3661.85,3610.35,3634.8,1506146,Construction
M&M,2024-05-29 05:30:00,2510.25,2547.0,2500.6,2533.65,2720451,Automobile
MARUTI,2024-05-29 05:30:00,12818.0,12850.05,12750.0,12788.65,353706,Automobile
NESTLEIND,2024-05-29 05:30:00,2447.7,2497.0,2445.0,2476.2,869600,Consumer Goods
NTPC,2024-05-29 05:30:00,361.5,366.35,360.0,364.6,18146672,Utilities
ONGC,2024-05-29 05:30:00,273.8,273.8,270.25,271.85,8327205,Energy
POWERGRID,2024-05-29 05:30:00,309.1,318.7,309.1,317.7,16812268,Utilities
RELIANCE,2024-05-29 05:30:00,1446.5,1458.0,1438.45,1440.78,7383556,Energy
SBILIFE,2024-05-29 05:30:00,1448.0,1449.45,1406.6,1412.8,1518325,Financial Services
SBIN,2024-05-29 05:30:00,828.4,834.45,819.3,822.65,14518232,Financial Services
SHRIRAMFIN,2024-05-29 05:30:00,2375.05,2397.65,2358.0,2374.65,439586,Financial Services
SUNPHARMA,2024-05-29 05:30:00,1468.1,1495.0,1465.65,1478.95,2843365,Healthcare
TATACONSUM,2024-05-29 05:30:00,1071.68,1076.62,1054.89,1058.15,1507729,Unknown
TATAMOTORS,2024-05-29 05:30:00,946.95,950.5,938.8,943.6,8184019,Automobile
TATASTEEL,2024-05-29 05:30:00,174.75,176.0,173.5,174.25,36575550,Materials
TCS,2024-05-29 05:30:00,3848.9,3848.9,3800.0,3803.65,1568095,Information Technology
TECHM,2024-05-29 05:30:00,1314.0,1314.0,1284.1,1286.45,1405567,Information Technology
TITAN,2024-05-29 05:30:00,3405.35,3418.0,3371.1,3380.4,519533,Consumer Goods
TRENT,2024-05-29 05:30:00,4650.0,4719.5,4600.1,4672.05,744694,Consumer Services
ULTRACEMCO,2024-05-29 05:30:00,10177.95,10177.95,9961.0,10023.4,317883,Materials
WIPRO,2024-05-29 05:30:00,454.0,455.5,449.5,450.8,4878018,Information Technology
ADANIENT,2024-05-30 05:30:00,3254.0,3274.3,3174.5,3194.25,1990208,Materials
ADANIPORTS,2024-05-30 05:30:00,1410.0,1413.65,1373.65,1383.5,3477661,Services
APOLLOHOSP,2024-05-30 05:30:00,5900.0,5901.75,5750.0,5766.45,643549,Healthcare
ASIANPAINT,2024-05-30 05:30:00,2875.25,2910.85,2875.0,2883.7,1344426,Consumer Goods
AXISBANK,2024-05-30 05:30:00,1155.2,1179.8,1155.0,1167.95,7232217,Financial Services
BAJAJ-AUTO,2024-05-30 05:30:00,9068.0,9128.9,8927.6,8968.5,305109,Automobile
BAJAJFINSV,2024-05-30 05:30:00,1566.75,1575.2,1517.0,1524.1,2285079,Financial Services
BAJFINANCE,2024-05-30 05:30:00,6779.9,6798.95,6594.05,6616.45,1155575,Financial Services
BEL,2024-05-30 05:30:00,293.0,296.3,289.65,290.65,42769599,Services
BHARTIARTL,2024-05-30 05:30:00,1378.8,1386.45,1363.5,1377.15,7100303,Telecommunications
BPCL,2024-05-30 05:30:00,317.02,318.4,311.75,312.88,9645688,Energy
BRITANNIA,2024-05-30 05:30:00,5202.1,5242.1,5173.0,5198.55,357619,Consumer Goods
CIPLA,2024-05-30 05:30:00,1495.05,1496.55,1454.0,1466.6,1732140,Healthcare
COALINDIA,2024-05-30 05:30:00,486.0,487.95,479.5,482.15,7725080,Energy
DRREDDY,2024-05-30 05:30:00,1195.0,1195.0,1166.6,1174.75,3005220,Healthcare
EICHERMOT,2024-05-30 05:30:00,4709.75,4770.0,4704.7,4742.95,431385,Automobile
GRASIM,2024-05-30 05:30:00,2404.0,2406.6,2328.0,2345.2,826458,Materials
HCLTECH,2024-05-30 05:30:00,1346.0,1351.55,1325.1,1331.85,4150461,Information Technology
HDFCBANK,2024-05-30 05:30:00,1499.2,1523.6,1497.65,1514.85,16877675,Financial Services
HDFCLIFE,2024-05-30 05:30:00,552.75,563.85,548.25,550.75,6312875,Financial Services
HEROMOTOCO,2024-05-30 05:30:00,5129.0,5186.95,5094.7,5136.0,457454,Automobile
HINDALCO,2024-05-30 05:30:00,704.85,713.05,693.35,695.15,10361716,Materials
HINDUNILVR,2024-05-30 05:30:00,2368.0,2372.45,2334.05,2351.4,1837380,Consumer Goods
ICICIBANK,2024-05-30 05:30:00,1097.0,1121.0,1096.9,1113.7,15255387,Financial Services
INDUSINDBK,2024-05-30 05:30:00,1458.0,1477.7,1439.15,1446.8,3415942,Financial Services
INFY,2024-05-30 05:30:00,1442.8,1449.85,1421.55,1427.45,9663150,Information Technology
ITC,2024-05-30 05:30:00,428.5,430.95,422.35,423.85,20524428,Consumer Goods
JSWSTEEL,2024-05-30 05:30:00,900.0,900.8,873.25,883.7,3993159,Materials
KOTAKBANK,2024-05-30 05:30:00,1684.35,1707.6,1683.0,1690.1,5580489,Financial Services
LT,2024-05-30 05:30:00,3626.05,3643.95,3607.75,3634.7,2701849,Construction
M&M,2024-05-30 05:30:00,2518.0,2531.45,2478.0,2493.5,3367101,Automobile
MARUTI,2024-05-30 05:30:00,12721.0,12810.0,12550.0,12598.0,524559,Automobile
NESTLEIND,2024-05-30 05:30:00,2465.05,2473.1,2400.55,2404.8,1274214,Consumer Goods
NTPC,2024-05-30 05:30:00,364.0,364.8,357.15,359.7,14425073,Utilities
ONGC,2024-05-30 05:30:00,273.0,275.1,265.0,266.7,15390964,Energy
POWERGRID,2024-05-30 05:30:00,314.6,317.65,303.8,306.7,22768893,Utilities
RELIANCE,2024-05-30 05:30:00,1435.5,1440.4,1420.1,1424.85,13206858,Energy
SBILIFE,2024-05-30 05:30:00,1418.8,1418.8,1371.0,1380.05,2097166,Financial Services
SBIN,2024-05-30 05:30:00,821.4,836.0,819.3,825.85,17818705,Financial Services
SHRIRAMFIN,2024-05-30 05:30:00,2366.0,2380.0,2292.0,2302.7,1337633,Financial Services
