ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,WIPRO
BHARTIARTL,0.35102387140839825,0.05907135557308797,0.03760153922684539,0.16805871871870673,0.24516328733140672,,0.2618607517995851,-0.0168520797684479,0.04216889240645904,1.0,0.13702693622015855,0.08902854949741477,0.09284113718150294,0.1330465935334389,0.13390573369447104,0.3189370957669124,0.3039095776078521,0.251307932184468,0.08684422304482659,0.25223475100800963,0.1964248017600067,0.29298346010909965,0.14794461872770845,0.19893985880427342,0.2687807616195423,0.27547320869335423,0.2835381915978362,0.37632785284583126,0.32668131335457395,0.35140410593108445,0.31269217663486903,0.09674497891608085,0.18721997146735614,0.16013815557562977,0.22702855367646005,0.4247683150685664,0.2290978567859228,0.13326761140040527,0.3369700075427771,0.2693365671868754,0.25703465853357316,0.31246326770977806,0.035961514719212495,0.21701170866428834,0.21479022028805655,0.27613018379025334,0.20202716444167107,0.23190648848511847
BPCL,0.2733212644876464,0.26728549159128207,0.030038878401802936,0.25600303035435384,0.14297558234726074,,0.2702488763469282,0.013784575555028985,0.13321416554113302,0.13702693622015855,1.0,0.13099225833852254,0.2466083953172596,0.29948679396564776,0.14800626667364258,0.06835807677013321,0.3095059501712699,0.026904521323586394,0.08332553035216096,0.20050675714789032,0.18950739027916125,0.2721779990356574,0.13648104517707071,0.1214911463975834,0.13758729363991376,-0.02965834365055737,0.21606778646361757,0.24654333861521935,0.03752878261694061,0.21436851220321743,0.17230161504574468,0.19498661160639263,0.4824477057027465,0.27860032453362915,0.25566049290150106,0.3191502924772479,0.08405775803422395,0.3338793036171939,0.20345030882071055,0.2773248649275682,0.19834604496747968,0.24116326431683371,0.14187384201988681,0.0882400673111439,0.061542960543427665,0.22736971152543617,0.4599671354353487,0.10398449169576128
BRITANNIA,0.14401976693250107,0.1051645400945489,0.06900871079626109,0.44865300045992174,0.07064704213212362,,0.2089571865751576,-0.046907133396024966,0.06661012620824268,0.08902854949741477,0.13099225833852254,1.0,0.2430406188781791,0.06243771126872971,0.18673128972721353,0.06911387529008513,0.1846229443311333,0.16543789956580351,-0.03223363112289863,0.0004968661084601054,0.1972623063145057,0.03595030532684084,0.5109405686440084,0.05200414971548584,0.07624730696326615,0.10949541664773633,0.26944993496713443,0.16701186907801116,0.24019834473683008,0.08616278848171142,0.09670111148404399,0.4888213465724493,0.0847356460360666,-0.061980374905716826,0.0004459431588575311,0.0969556641090185,0.0975759096094215,0.08013510055465624,0.08821305995459212,0.21724856703756776,0.41628726046791764,0.08833704470624487,0.005925658617993941,0.15648405668313922,0.10503850127994432,0.03217091761065017,-0.029551063753967537,0.14624635055892232
CIPLA,0.12843072828540666,0.09197645283169563,0.19789442098818252,0.21399483008801737,0.11084573873695419,,0.18947877667755134,-0.05079075057834233,0.02908755268913644,0.09284113718150294,0.2466083953172596,0.2430406188781791,1.0,0.13986084763769846,0.4344739554566683,0.13875941565203243,0.23489621460066556,0.10769186147004373,-0.023016373274245168,0.15221788719946142,0.23867918482736392,0.2359615311636896,0.09749353225156288,0.0683442167974686,0.09063778533695158,0.1294099183772601,0.12766122597889473,0.2595041750703482,0.07290545990165634,0.25836625751333975,0.21753912937035544,0.1551723462413126,0.15986373833507236,0.07346612445518017,0.19709859728363072,0.10094296089874336,0.1707596070995355,0.09270740361647148,0.181933945515594,0.3835454598214818,0.08169013216960287,0.22302201564302823,0.017258109439579773,0.1284540124428472,0.053240792835344566,0.15041876228872367,0.11805251931886651,0.1649620111122291
COALINDIA,0.29806410572272757,0.5144577713347107,0.12291430816992635,0.10008230491065098,0.11838205162154804,,0.13977133774569442,-0.03877300062295566,0.32333813618332524,0.1330465935334389,0.29948679396564776,0.06243771126872971,0.13986084763769846,1.0,0.12488480750684725,0.2284402882296598,0.14861513809529103,0.11619824258175393,0.1714229637060071,0.16276698947748422,0.21012566836714874,0.20313798683412754,-0.025419412444936937,0.20722680017103212,0.13646094633893163,0.04727991998440489,0.29740937664525635,0.28794503137985955,0.05781392126802693,0.36874151760601925,0.16997023301093403,0.009980300094502388,0.4329463109657894,0.6035428035638795,0.41008533889684357,0.3579687777740125,0.11596402572045153,0.2674870647115835,0.2694853646889928,0.06851270189952674,0.15259137469503053,0.27711740125475326,0.15072638740413768,0.13323253028001772,0.16982004649395246,0.14030834025239589,0.14683465687991137,0.19838017805870153
DRREDDY,0.20733995187336676,0.0886964168947526,0.2597559142860771,0.1633306815716709,0.0642447680518942,,0.23780120011201708,-0.047713960908786365,0.09740117703350304,0.13390573369447104,0.14800626667364258,0.18673128972721353,0.4344739554566683,0.12488480750684725,1.0,0.15332680934687395,0.25651911938112454,0.2451050510649938,0.07851341800121432,0.14449907385439462,0.1163026893394429,0.19431957308093792,0.12520292173239783,0.01821663958083056,0.05033646366586636,0.2776672577177525,0.14133973407045297,0.23991940674506393,0.025132748679729304,0.18757211468647783,0.18841112825587855,0.24873579185227324,0.17592074331743018,0.09066457088240484,0.2181327535287831,0.18829199391260706,0.18887948298702317,0.1859354801751451,0.2286775767167028,0.42316467687566356,0.1475063461438725,0.22367071254117918,0.011757787203762847,0.29024680987885837,0.2118259285782767,0.13277780816182072,0.15832813611410804,0.26701508934922313
EICHERMOT,0.3661308719957767,0.11027646753554736,0.24907535248149248,0.24999336935410937,0.26429413393348916,,0.3063834638676803,0.058280203563183565,0.20583315582211417,0.3189370957669124,0.06835807677013321,0.06911387529008513,0.13875941565203243,0.2284402882296598,0.15332680934687395,1.0,0.40144249816276967,0.19940511132031793,0.1488804594775182,0.26707139459909196,0.2796010901221425,0.2468849503479907,0.0417523074635214,0.25185453468289276,0.1277829448283275,0.12181753576765021,0.24311093403027823,0.3722267447975702,0.2225984060794986,0.35746460657814055,0.3505116124556918,0.1555772761024976,0.13664343203649384,0.16841603841505412,0.25098418488909185,0.39752966678043133,0.34469881257225093,0.3086892102849614,0.3335144304116444,0.21147419770357573,0.21942873080714986,0.2887804938708465,0.07348868153530828,0.1796878172154506,0.20576521662329494,0.3158356915802331,0.2174837517424462,0.30833205512097556
GRASIM,0.34094048042242187,0.18864750121037835,0.16202361336954868,0.31958928831958594,0.3416588846902695,,0.44722793161631197,0.03922877330939744,0.15075833568994393,0.3039095776078521,0.3095059501712699,0.1846229443311333,0.23489621460066556,0.14861513809529103,0.25651911938112454,0.40144249816276967,1.0,0.16639531873037638,0.17475824252189676,0.2615784686516836,0.2786078182887711,0.3244605643023803,0.12840931541448453,0.32175703255446353,0.24862436550260072,0.15963450263608558,0.16543768095631686,0.49006088621861943,0.22759146206149283,0.34973580661701686,0.2922576785717844,0.2660447891014016,0.24384568237095916,0.15928689562021914,0.3306303883354783,0.39755911213602,0.22234795047876144,0.29394306460847786,0.36707983040508363,0.28389246155367237,0.30779593997880794,0.372670959078017,-0.019907771069567915,0.18685295866268922,0.13085366387693598,0.3704049570335021,0.17966983796725458,0.25926651502885334
HCLTECH,0.17280331264635607,0.036243363992926055,0.17669500217345635,0.10608214639470413,0.10369590335047651,,0.29813211655845756,-0.0875236628158676,0.12182551026771953,0.251307932184468,0.026904521323586394,0.16543789956580351,0.10769186147004373,0.11619824258175393,0.2451050510649938,0.19940511132031793,0.16639531873037638,1.0,-0.032355555319530355,0.13206996597594334,0.12407462638640435,0.20785734751328458,0.04658757082661247,0.04844934600941616,0.0473441907111332,0.6942815056602873,0.233646753606796,0.2279458064959102,0.20974961013868482,0.1860313629978725,0.20770638050063314,0.10254259235323399,-0.00957453925485829,0.018387058370882562,0.12364703772071445,0.2624677155643137,0.16617926083199086,0.17865834285104665,0.22302643440844575,0.194376418308879,0.22440053252958686,0.2773358088994552,0.017688247537040628,0.6132781359844255,0.5121086251336763,0.17821001851235674,0.1675385219408144,0.5397576609224249
HDFCBANK,0.14687379886385038,0.2548663119408945,0.008492020209608682,0.12950830780042188,0.28738451090750833,,0.23538384752496821,0.10047922471598761,0.145891560879429,0.08684422304482659,0.08332553035216096,-0.03223363112289863,-0.023016373274245168,0.1714229637060071,0.07851341800121432,0.1488804594775182,0.17475824252189676,-0.032355555319530355,1.0,0.20406537816488118,0.06632493207983618,0.09145914709138829,0.0390544857858737,0.3645882598688019,0.17483559319118944,0.019406268227815472,0.06976631977858376,0.2354771111764266,0.22045268394968703,0.26272388687483594,0.25356848641958063,0.023988808387906135,0.18011057303233294,0.1617454435899849,0.20178211634159324,0.17113563283132083,0.14634086157499387,0.11819972062174648,0.27147489644904105,-0.03598530247471192,0.04558634415923962,0.17195445832206918,0.0667900850182509,0.0439412235036752,0.15591807057260285,0.1443507580833767,-0.015277115770331818,0.09950993593992288
HDFCLIFE,0.2729950850696732,0.06316433757301707,0.13286012396663535,0.2046031068335165,0.24815422802719264,,0.38853309391246693,0.17642192836797324,0.20373592838572185,0.25223475100800963,0.20050675714789032,0.0004968661084601054,0.15221788719946142,0.16276698947748422,0.14449907385439462,0.26707139459909196,0.2615784686516836,0.13206996597594334,0.20406537816488118,1.0,0.268285060482885,0.24204806348339805,0.1351222582266951,0.1784430683853519,0.19767682585390903,0.09716707403434512,0.2713791159157818,0.24457262125578233,0.2790128712716554,0.29479653770777425,0.22739536388158857,0.12462874181352615,0.21092347678263904,0.13706404640263037,0.09308250768732591,0.3039332566545229,0.5981573918772176,0.23934473445092552,0.39439852324929087,0.26976813202469946,0.2303111477290616,0.2729310772580043,0.04557207923949874,0.09990699158560236,0.12257448480910882,0.2283743658730105,0.184105365150626,0.24514186023643003
HEROMOTOCO,0.23163253422873142,0.11642070881120066,0.21219110571259153,0.184014308365961,0.16353857700279317,,0.27035763724492345,0.004385261315188917,0.17854520551831818,0.1964248017600067,0.18950739027916125,0.1972623063145057,0.23867918482736392,0.21012566836714874,0.1163026893394429,0.2796010901221425,0.2786078182887711,0.12407462638640435,0.06632493207983618,0.268285060482885,1.0,0.2305880875131089,0.26769481081668745,0.11981301783177446,0.18813312037394786,0.10242875105853505,0.13842428000125212,0.21389256667481768,0.17715460777424172,0.2106061632374594,0.358780669707729,0.32173777697504063,0.2189074360560699,0.06917093231203181,0.2214597870717786,0.20433190971167076,0.2452538419424949,0.19950282219337007,0.2857385333391344,0.24395053319029023,0.2353887100075451,0.2658799857741301,0.0804091776227051,0.08598843393101166,0.06734133834199423,0.3267551178847896,0.19879153213074688,0.17335767651213424
HINDALCO,0.317872769324626,0.12339764621745883,0.11756899204443177,0.17829161059107157,0.21598146420847406,,0.27787108065817917,0.07529338175734071,0.1259559079674362,0.29298346010909965,0.2721779990356574,0.03595030532684084,0.2359615311636896,0.20313798683412754,0.19431957308093792,0.2468849503479907,0.3244605643023803,0.20785734751328458,0.09145914709138829,0.24204806348339805,0.2305880875131089,1.0,0.028236402236587282,0.04117038078260655,0.19590332688914183,0.14437371373032593,0.11167536260719409,0.5736369528532579,0.19572530689146492,0.3592447135526498,0.26729566348359407,0.061827309167916025,0.29792762971340675,0.11614698283375209,0.3441490321889767,0.3152044300884728,0.20410108588146078,0.1441650270431806,0.35469230448751843,0.3464915920029851,0.18119999086975672,0.3240600675167484,0.07845099373514237,0.16933948067332932,0.25830046492126496,0.20388995218788686,0.22542564634623993,0.23647077619484316
HINDUNILVR,-0.0095808246563447,-0.007825582857056285,0.05326141305079328,0.26005634428168406,1.7414718443775606e-06,,0.15527716973576705,-0.020599597304429024,0.06277651002275235,0.14794461872770845,0.13648104517707071,0.5109405686440084,0.09749353225156288,-0.025419412444936937,0.12520292173239783,0.0417523074635214,0.12840931541448453,0.04658757082661247,0.0390544857858737,0.1351222582266951,0.26769481081668745,0.028236402236587282,1.0,0.06353541113577783,-0.0036184910413734513,0.1332659900047459,0.33717226162464614,0.0830262447052423,0.14923737351016297,-0.0652775958312693,0.1005564446187521,0.5134177130921489,0.11637503300530463,-0.05970637867032951,0.0515387474969765,0.045989560006494616,0.227524060671365,0.004389644648504802,-0.00010520862409653344,0.11876968559098057,0.470285945125369,0.06837054047014272,0.07089580040192461,0.14336571996043,0.09092077380529318,0.18537932183011904,0.02012086481568848,0.12514321210812512
ICICIBANK,0.15735259020687753,0.31759887345712384,0.047056345181989215,0.059613227038574586,0.47171080740275506,,0.3366175107743604,0.08733998133549782,0.12653122394098812,0.19893985880427342,0.1214911463975834,0.05200414971548584,0.0683442167974686,0.20722680017103212,0.01821663958083056,0.25185453468289276,0.32175703255446353,0.04844934600941616,0.3645882598688019,0.1784430683853519,0.11981301783177446,0.04117038078260655,0.06353541113577783,1.0,0.07838715597947557,0.10073306768717422,0.20705317521728717,0.194935965184314,0.3098724868320128,0.25165833053502595,0.19738487662612972,0.15955313267790772,0.17838488982208386,0.2225552044121343,0.19570508351816474,0.27790915415341433,0.1466243422434289,0.38827877795631244,0.312590076857736,0.06810751504665377,0.10681968479911741,0.15577454620021058,0.0036552145505098985,0.16658785975883555,0.09848105481973045,0.11083969466161382,-0.06598942609867241,0.19210875105548106
