ticker,sector,volatility,var_95,var_99,cvar_95,cvar_99,max_drawdown,sharpe_ratio,sortino_ratio
APOLLOHOSP,Healthcare,0.2214214659166076,-0.021523736295547158,-0.0409910285774468,-0.030824178383684852,-0.04375717641516158,-0.12636825719068873,1.2862831908227519,1.8626498227611437
BHARTIARTL,Telecommunications,0.21694286761678744,-0.018800876971632602,-0.02601616082130678,-0.025744635258039463,-0.042517038637196025,-0.1388684998023824,2.0554585530101446,3.2087622832760845
HDFCBANK,Financial Services,0.21569621375392037,-0.015651848277457154,-0.029556249323745253,-0.03069198831566928,-0.06644354298120991,-0.18677782653210454,0.5160815464634165,0.5612036692115082
RELIANCE,Energy,0.2152911413408254,-0.018711618165835452,-0.03474397042744386,-0.029500481217901282,-0.049789796355901715,-0.23605471922043855,0.23807250019734166,0.3345519102900475
TCS,Information Technology,0.20893664659511132,-0.017727128807293435,-0.0299937325200154,-0.024990654269629726,-0.03602646688875614,-0.12995200568821427,0.6695139023093243,1.1733409257295095
BRITANNIA,Consumer Goods,0.20699117458585864,-0.017685610505152494,-0.0340323488904666,-0.0292976346374904,-0.056399443328466026,-0.2548382342674969,0.18718897742098706,0.24508983693922187
ASIANPAINT,Consumer Goods,0.2010455570613753,-0.020801996739747187,-0.0391215575301006,-0.032585035168161004,-0.055976321181577804,-0.28677172524196376,-1.243757763817645,-1.4797902407083483
NESTLEIND,Consumer Goods,0.19869857405245528,-0.021511083796948424,-0.031447101017539565,-0.028063911788571958,-0.03313908630592114,-0.20783886771910687,-0.12106963329247517,-0.18135432273944332
DRREDDY,Healthcare,0.19827419408142508,-0.0187751804221696,-0.03222380168946049,-0.02690246688456431,-0.03960124961546633,-0.15500286727693655,0.3225679560575259,0.4864439142440048
BAJFINANCE,Financial Services,0.19558080073741393,-0.018634972570590647,-0.03516771377595955,-0.030896906016579906,-0.042135873804421076,-0.04427854292701767,-0.9765818539344302,-1.121379411212196
HINDUNILVR,Consumer Goods,0.19166715379255692,-0.0168838046473322,-0.031970168041116194,-0.025943495645961583,-0.04447050376050088,-0.2132208482607186,-0.2102746921483223,-0.30516891256643
ICICIBANK,Financial Services,0.18838369855096176,-0.01666131187878777,-0.026023694959059138,-0.023175698863919063,-0.03448684415283106,-0.07979383770362296,1.3056456918405974,2.1507125561968037
SUNPHARMA,Healthcare,0.18625279002021658,-0.01621249732657677,-0.027009952041699037,-0.02348677330714223,-0.03488289433110662,-0.12238760165720475,1.9910347193503979,3.118422286463198
ITC,Consumer Goods,0.18359171878188646,-0.01785160134062158,-0.028095327804777893,-0.023189737560399097,-0.035264905783218614,-0.1548454688318488,0.19722470667577807,0.34007982887217675
